station_id,station_group_id,name_kanji,name_romaji,line_id,lon,lat,name_kana
10122,8487,十日市町,tookaichichou,530,132.447138,34.397438,とおかいちちょう
10123,8488,土橋,dobashi,530,132.446322,34.3948,どばし
10124,8514,舟入町,funairimachi,530,132.444928,34.389222,ふないりまち
10125,8515,舟入本町,funairihonchou,530,132.442632,34.385556,ふないりほんちょう
10126,8516,舟入幸町,funairisaiwaichou,530,132.441151,34.383139,ふないりさいわいちょう
10127,8517,舟入川口町,funairikawaguchimachi,530,132.439499,34.380341,ふないりかわぐちまち
10128,8518,舟入南,funairiminami,530,132.437224,34.375099,ふないりみなみ
10129,8519,江波,enami,530,132.436044,34.372496,えなみ
10130,8464,八丁堀,hatchoubori,531,132.463403,34.393897,はっちょうぼり
10131,8523,女学院前,jogakuinmae,531,132.464776,34.397827,じょがくいんまえ
10132,8524,縮景園前,shukkeienmae,531,132.465334,34.399881,しゅっけいえんまえ
10133,8525,家庭裁判所前,kateisaibanshomae,531,132.466106,34.402289,かていさいばんしょまえ
10134,8526,白島,shiroshima,531,132.465506,34.404484,しろしま
10135,3724,川西,kawanishi,532,132.177321,34.156612,かわにし
10136,8527,清流新岩国,seiryuushin'iwakuni,532,132.14764,34.162639,せいりゅうしんいわくに
10137,8528,守内かさ神,moriuchikami,532,132.135704,34.170107,もりうちかみ
10138,8529,南河内,minamikawachi,532,132.103363,34.165957,みなみかわち
10139,8530,行波,yukaba,532,132.087084,34.163368,ゆかば
10140,8531,北河内,kitakouchi,532,132.064519,34.176011,きたこうち
10141,8532,椋野,kureno,532,132.033385,34.193637,くれの
10142,8533,南桑,nansou,532,132.020852,34.20961,なんそう
10143,8534,清流みはらし,seiryuumiharashi,532,132.004833,34.211861,せいりゅうみはらし
10144,8535,根笠,nekasa,532,131.998656,34.210487,ねかさ
10145,8536,河山,kawayama,532,131.983923,34.236368,かわやま
10146,8537,柳瀬,yanase,532,131.97669,34.25714,やなせ
10147,8538,錦町,nishikichou,532,131.962944,34.26475,にしきちょう
10148,3875,阿波海南,awakainan,533,134.350805,33.606379,あわかいなん
10149,8539,海部,kaibu,533,134.351999,33.593453,かいぶ
10150,8540,宍喰,shishikui,533,134.300741,33.566949,ししくい
10151,8541,甲浦,kouura,533,134.288242,33.547238,こううら
10152,3797,高松築港,takamatsuchikkou,534,134.049507,34.35079,たかまつちっこう
10153,8542,片原町,kataharachou,534,134.054368,34.346138,かたはらちょう
10154,8543,瓦町,kawarachou,534,134.052529,34.338827,かわらちょう
10155,8544,栗林公園,kuribayashikouen,534,134.051063,34.328586,くりばやしこうえん
10156,8545,三条,sanjou,534,134.049478,34.319718,さんじょう
10157,8546,伏石,fukuishi,534,134.047806,34.309861,ふくいし
10158,8547,太田,oota,534,134.045965,34.298989,おおた
10159,8548,仏生山,butsushouzan,534,134.042605,34.283213,ぶつしょうざん
10160,8549,空港通り,kuukoudoori,534,134.033096,34.28112,くうこうどおり
10161,8550,一宮,ichinomiya,534,134.022561,34.283027,いちのみや
10162,8551,円座,enza,534,134.009285,34.284479,えんざ
10163,8552,岡本,okamoto,534,133.989265,34.270261,おかもと
10164,8553,挿頭丘,kazashioka,534,133.979358,34.262007,かざしおか
10165,8554,畑田,hatada,534,133.97157,34.25901,はただ
10166,8555,陶,sue,534,133.947778,34.250394,すえ
10167,8556,綾川（イオンモール綾川）,not matched,534,133.931667,34.249528,not matched
10168,8557,滝宮,takinomiya,534,133.922302,34.248152,たきのみや
10169,8558,羽床,haika,534,133.901782,34.241078,はいか
10170,8559,栗熊,kurikuma,534,133.884133,34.233905,くりくま
10171,8560,岡田,okada,534,133.860902,34.220859,おかだ
10172,8561,羽間,hanema,534,133.847345,34.209571,はねま
10173,8562,榎井,enoi,534,133.829511,34.194317,えのい
10174,3739,琴電琴平,kindenkotohira,534,133.819236,34.190906,きんでんことひら
10175,3797,高松築港,takamatsuchikkou,535,134.049507,34.35079,たかまつちっこう
10176,8542,片原町,kataharachou,535,134.054368,34.346138,かたはらちょう
10177,8543,瓦町,kawarachou,535,134.052529,34.338827,かわらちょう
10178,8563,花園,hanazono,535,134.059463,34.334206,はなぞの
10179,8564,林道,rindou,535,134.073106,34.32344,りんどう
10180,8565,木太東口,kitahigashiguchi,535,134.07957,34.319718,きたひがしぐち
10181,8566,元山,motoyama,535,134.083742,34.310424,もとやま
10182,8567,水田,suiden,535,134.092699,34.303056,すいでん
10183,8568,西前田,nishimaeda,535,134.104675,34.296004,にしまえだ
10184,8569,高田,takada,535,134.112155,34.288506,たかだ
10185,8570,池戸,iketo,535,134.119706,34.27866,いけと
10186,8571,農学部前,nougakubumae,535,134.125739,34.273814,のうがくぶまえ
10187,8572,平木,hiraki,535,134.131327,34.272134,ひらき
10188,8573,学園通り,gakuendoori,535,134.136998,34.270576,がくえんどおり
10189,8574,白山,hakusan,535,134.150461,34.266707,はくさん
10190,8575,井戸,ido,535,134.156127,34.266669,いど
10191,8576,公文明,kumon'akira,535,134.161929,34.266688,くもんあきら
10192,8577,長尾,nagao,535,134.169184,34.266675,ながお
10193,8543,瓦町,kawarachou,536,134.052529,34.338827,かわらちょう
10194,8578,今橋,imahashi,536,134.058782,34.341577,いまはし
10195,8579,松島二丁目,matsushimachoume,536,134.064626,34.339986,まつしまちょうめ
10196,8580,沖松島,okimatsushima,536,134.072253,34.341219,おきまつしま
10197,8581,春日川,kasugakawa,536,134.083566,34.340969,かすがかわ
10198,8582,潟元,katamoto,536,134.098231,34.341363,かたもと
10199,8583,琴電屋島,kindenyashima,536,134.105763,34.341624,きんでんやしま
10200,8584,古高松,furutakamatsu,536,134.11244,34.340844,ふるたかまつ
10201,8585,八栗,yakuri,536,134.122439,34.344582,やくり
10202,8586,六万寺,rokumanji,536,134.134088,34.342655,ろくまんじ
10203,8587,大町,oomachi,536,134.141354,34.337333,おおまち
10204,3805,八栗新道,yakurishindou,536,134.147295,34.336705,やくりしんどう
10205,8588,塩屋,shioya,536,134.155142,34.335583,しおや
10206,8589,房前,fusasaki,536,134.158483,34.332367,ふささき
10207,8590,原,hara,536,134.163654,34.32641,はら
10208,3806,琴電志度,kindenshido,536,134.172528,34.32246,きんでんしど
10209,8591,松山市,matsuyamashi,537,132.762281,33.835656,まつやまし
10210,8592,土橋,dobashi,537,132.756487,33.832738,どばし
10211,8593,土居田,toita,537,132.744094,33.8241,といた
10212,8594,余戸,amabe,537,132.733887,33.816173,あまべ
10213,8595,鎌田,kamata,537,132.729784,33.810115,かまた
10214,8596,岡田,okada,537,132.724271,33.799083,おかだ
10215,8597,古泉,kosen,537,132.717136,33.792539,こせん
